iso3c,country,year,life_expectancy,co2_emissions,gdp_per_cap,region,income,longitude,latitude
KHM,Cambodia,2013,67.888,0.372890469876481,922.890205656967,Z4,XN,104.874,11.5556
KHM,Cambodia,2014,68.273,0.437653585193574,972.742728302532,Z4,XN,104.874,11.5556
KHM,Cambodia,2015,68.637,NA,1024.62136452219,Z4,XN,104.874,11.5556
KHM,Cambodia,2016,68.977,NA,1079.63053900119,Z4,XN,104.874,11.5556
KHM,Cambodia,2005,63.088,0.209134707022807,613.133329407254,Z4,XN,104.874,11.5556
KHM,Cambodia,2006,63.927,0.222560525679847,668.876489417057,Z4,XN,104.874,11.5556
KHM,Cambodia,2007,64.697,0.253313203647788,726.286982617308,Z4,XN,104.874,11.5556
KHM,Cambodia,2018,69.57,NA,1205.04094079918,Z4,XN,104.874,11.5556
KHM,Cambodia,2017,69.289,NA,1137.82139678947,Z4,XN,104.874,11.5556
LAO,Lao PDR,1998,57.637,0.133290971779741,613.324393314807,Z4,XN,102.177,18.5826
LAO,Lao PDR,2000,58.803,0.176334504198208,672.875388277317,Z4,XN,102.177,18.5826
LAO,Lao PDR,2001,59.372,0.161333352558479,700.278330592421,Z4,XN,102.177,18.5826
LAO,Lao PDR,2002,59.937,0.20960976442708,730.429271297853,Z4,XN,102.177,18.5826
LAO,Lao PDR,1999,58.225,0.177209109006358,646.728737335868,Z4,XN,102.177,18.5826
LAO,Lao PDR,1995,55.851,0.0718799591373786,547.974321398575,Z4,XN,102.177,18.5826
LAO,Lao PDR,1996,56.44,0.0962818067153485,573.547813812489,Z4,XN,102.177,18.5826
LAO,Lao PDR,1997,57.04,0.120531491600029,600.932234612855,Z4,XN,102.177,18.5826
LAO,Lao PDR,2010,64.306,0.262298883130786,1140.59920478703,Z4,XN,102.177,18.5826
LAO,Lao PDR,2011,64.797,0.255921835878219,1213.18469310894,Z4,XN,102.177,18.5826
LAO,Lao PDR,2012,65.267,0.263451485213041,1290.83774819673,Z4,XN,102.177,18.5826
LAO,Lao PDR,2013,65.717,0.241054383040446,1373.81443750225,Z4,XN,102.177,18.5826
LAO,Lao PDR,2014,66.144,0.29436488328788,1456.46765527935,Z4,XN,102.177,18.5826
LAO,Lao PDR,2015,66.546,NA,1538.85116913062,Z4,XN,102.177,18.5826
LAO,Lao PDR,2016,66.924,NA,1621.73855833524,Z4,XN,102.177,18.5826
LAO,Lao PDR,2017,67.277,NA,1706.79323265232,Z4,XN,102.177,18.5826
LAO,Lao PDR,2018,67.61,NA,1785.57679801882,Z4,XN,102.177,18.5826
LAO,Lao PDR,2005,61.625,0.244182912945722,842.9118834439,Z4,XN,102.177,18.5826
LAO,Lao PDR,2006,62.182,0.265330373854317,900.780853320282,Z4,XN,102.177,18.5826
LAO,Lao PDR,2007,62.731,0.152972910780717,953.092091962223,Z4,XN,102.177,18.5826
