iso3c,country,year,life_expectancy,co2_emissions,gdp_per_cap,region,income,longitude,latitude,rank
BRN,Brunei Darussalam,2010,74.74,21.1068144275253,35269.5531076448,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2011,74.852,24.6274918209343,36121.891977592,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2012,74.962,24.2267631438461,35967.3283979567,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2009,74.623,20.4790964454841,34800.5635264382,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2014,75.193,22.229177902672,33471.1464519954,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2006,74.189,13.1324004829,37399.74000641,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2007,74.351,22.4441347859133,36987.8415885984,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2013,75.075,19.295180022798,34729.8266256897,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2000,72.809,14.1434274308526,35931.5965013377,Z4,XD,114.946,4.94199,10
BRN,Brunei Darussalam,2005,74.006,13.7092935357176,36329.4982777345,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2001,73.076,13.2538010904792,36171.8050676004,Z4,XD,114.946,4.94199,10
BRN,Brunei Darussalam,2008,74.494,24.0361735381015,35844.4160068892,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2003,73.575,12.9951173671712,37212.4669053931,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2004,73.801,13.9055707183258,36761.2498220737,Z4,XD,114.946,4.94199,11
BRN,Brunei Darussalam,2002,73.332,12.625793726318,36841.2942129897,Z4,XD,114.946,4.94199,11
IDN,Indonesia,2000,65.772,1.24539824992904,2143.65950412517,Z4,XN,106.83,-6.19752,6
IDN,Indonesia,2004,66.969,1.51212278390845,2420.39718164001,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2005,67.334,1.51130211229007,2524.22242375952,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2006,67.717,1.50498133899166,2627.90524538688,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2007,68.105,1.61612059890716,2757.8936698443,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2008,68.485,1.76906026260816,2885.30927484934,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2009,68.853,1.87079258127473,2979.00471389962,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2010,69.205,1.77295139151422,3122.36281521649,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2011,69.542,2.46277150275409,3270.61948985329,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2012,69.866,2.56418886541464,3421.27352044829,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2001,66.037,1.37532540440013,2191.57417695176,Z4,XN,106.83,-6.19752,6
IDN,Indonesia,2002,66.321,1.41120873453109,2259.30770358823,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2003,66.631,1.43794150763443,2335.59404450348,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2013,70.179,1.94683915145255,3563.29986394283,Z4,XN,106.83,-6.19752,7
IDN,Indonesia,2014,70.481,1.81937838004494,3692.97344616041,Z4,XN,106.83,-6.19752,6
KHM,Cambodia,2000,58.432,0.162605852505245,431.202289963378,Z4,XN,104.874,11.5556,1
KHM,Cambodia,2004,62.186,0.187188214352324,549.969766152318,Z4,XN,104.874,11.5556,2
KHM,Cambodia,2001,59.335,0.181496489273065,453.969017741301,Z4,XN,104.874,11.5556,2
KHM,Cambodia,2002,60.283,0.174678088868354,474.941032111551,Z4,XN,104.874,11.5556,1
KHM,Cambodia,2003,61.241,0.185116119016226,506.583017849236,Z4,XN,104.874,11.5556,2
KHM,Cambodia,2008,65.394,0.280759695052534,763.508498039057,Z4,XN,104.874,11.5556,4
KHM,Cambodia,2009,66.014,0.330179775166097,752.796480639033,Z4,XN,104.874,11.5556,4
KHM,Cambodia,2010,66.56,0.350245580487489,785.502282874113,Z4,XN,104.874,11.5556,4
KHM,Cambodia,2011,67.043,0.35809012639272,827.777013823179,Z4,XN,104.874,11.5556,4
KHM,Cambodia,2012,67.48,0.369169715625785,873.949283306707,Z4,XN,104.874,11.5556,4
KHM,Cambodia,2013,67.888,0.372890469876481,922.890205656967,Z4,XN,104.874,11.5556,3
KHM,Cambodia,2014,68.273,0.437653585193574,972.742728302532,Z4,XN,104.874,11.5556,4
KHM,Cambodia,2005,63.088,0.209134707022807,613.133329407254,Z4,XN,104.874,11.5556,2
KHM,Cambodia,2006,63.927,0.222560525679847,668.876489417057,Z4,XN,104.874,11.5556,2
KHM,Cambodia,2007,64.697,0.253313203647788,726.286982617308,Z4,XN,104.874,11.5556,3
LAO,Lao PDR,2000,58.803,0.176334504198208,672.875388277317,Z4,XN,102.177,18.5826,2
LAO,Lao PDR,2001,59.372,0.161333352558479,700.278330592421,Z4,XN,102.177,18.5826,1
LAO,Lao PDR,2002,59.937,0.20960976442708,730.429271297853,Z4,XN,102.177,18.5826,4
LAO,Lao PDR,2010,64.306,0.262298883130786,1140.59920478703,Z4,XN,102.177,18.5826,3
LAO,Lao PDR,2011,64.797,0.255921835878219,1213.18469310894,Z4,XN,102.177,18.5826,2
LAO,Lao PDR,2012,65.267,0.263451485213041,1290.83774819673,Z4,XN,102.177,18.5826,3
LAO,Lao PDR,2013,65.717,0.241054383040446,1373.81443750225,Z4,XN,102.177,18.5826,1
